City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lorengau,-2.0226,147.2712,30.21,63,100,3.7,PG,1713755956
84,kapa'a,22.0752,-159.319,22.95,71,33,6.83,US,1713755869
85,toliara,-23.35,43.6667,19.95,84,0,4.0,MG,1713755956
86,alofi,-19.0595,-169.9187,26.64,69,98,4.01,NU,1713755956
87,nema,57.5067,50.5011,10.22,60,24,5.04,RU,1713755956
88,krasnyy chikoy,50.3643,108.7512,2.64,69,100,6.4,RU,1713755957
89,vilhena,-12.7406,-60.1458,21.5,98,96,1.49,BR,1713755957
90,isafjordur,66.0755,-23.124,1.45,88,86,4.54,IS,1713755957
91,swan hill,-35.3378,143.5544,23.77,21,0,2.77,AU,1713755957
92,la jolla,32.8473,-117.2742,15.62,82,70,1.61,US,1713755711
93,sotuta,20.6,-89.0167,25.5,57,7,1.88,MX,1713755958
94,acarau,-2.8856,-40.12,25.72,87,99,4.03,BR,1713755677
95,port lincoln,-34.7333,135.8667,22.27,36,0,2.86,AU,1713755958
96,hotan,37.0997,79.9269,22.34,16,49,2.42,CN,1713755958
97,santa terezinha,-29.9002,-50.0904,20.14,78,44,3.05,BR,1713755959
98,nemuro,43.3236,145.575,2.45,92,100,3.88,JP,1713755959
99,princeville,45.7668,-61.2985,4.03,92,100,2.02,CA,1713755959
100,igarka,67.4667,86.5833,-11.86,89,100,2.94,RU,1713755959
101,inari,68.906,27.0288,-13.97,99,91,0.59,FI,1713755959
102,port elizabeth,-33.918,25.5701,20.74,96,100,5.32,ZA,1713755960
103,waris aliganj,25.0167,85.6333,35.69,14,49,5.19,IN,1713755960
104,port alfred,-33.5906,26.891,22.38,93,100,7.75,ZA,1713755960
105,burang,30.25,81.1667,1.29,42,29,2.83,CN,1713755960
106,cape coast,5.1053,-1.2466,27.85,87,100,4.52,GH,1713755961
107,tiksi,71.6872,128.8694,-5.24,94,100,5.24,RU,1713755961
108,mogok,22.9167,96.5,29.35,27,4,1.61,MM,1713755737
109,arawa,-6.2132,155.5367,31.68,62,100,1.85,PG,1713755961
110,noumea,-22.2763,166.4572,23.62,87,100,6.73,NC,1713755962
111,ancud,-41.8697,-73.8203,7.63,79,100,2.72,CL,1713755962
112,torghay,49.6339,63.4981,18.68,52,0,6.22,KZ,1713755962
113,chonchi,-42.6128,-73.8092,5.64,88,100,0.44,CL,1713755962
114,praia da vitoria,38.7333,-27.0667,15.12,91,100,1.96,PT,1713755962
115,keflavik,64.0049,-22.5624,5.37,80,94,2.57,IS,1713755963
116,grand gaube,-20.0064,57.6608,26.66,85,67,4.55,MU,1713755963
117,kaihua,23.3687,104.28,27.33,34,0,7.09,CN,1713755963
118,waverly,42.7392,-84.6208,3.17,66,4,3.19,US,1713755963
119,longyearbyen,78.2186,15.6401,-0.05,91,98,5.9,SJ,1713755964
120,anadyr,64.75,177.4833,-7.07,70,100,4.22,RU,1713755964
121,mermoz boabab,14.7065,-17.4758,20.81,86,37,7.24,SN,1713755964
122,dongcun,36.7767,121.1597,17.62,56,1,4.14,CN,1713755964
123,mahina,-17.5065,-149.489,27.8,78,7,1.84,PF,1713755965
124,kumagunnam,13.1551,10.6342,29.78,15,87,3.06,NG,1713755965
125,brezina,33.0989,1.2608,13.45,30,12,3.9,DZ,1713755965
126,akureyri,65.6835,-18.0878,2.22,71,86,4.18,IS,1713755965
127,alvaraes,-3.2208,-64.8042,23.68,98,100,1.2,BR,1713755966
128,shingu,33.7333,135.9833,17.83,90,100,3.72,JP,1713755966
129,ulcinj,41.9294,19.2244,9.64,81,57,3.36,ME,1713755966
130,hasaki,35.7333,140.8333,16.81,75,100,5.76,JP,1713755966
131,rongelap,11.1635,166.8941,27.61,76,91,7.57,MH,1713755966
132,hami,42.8,93.45,18.7,13,91,7.38,CN,1713755967
133,khandyga,62.6667,135.6,4.69,81,85,1.72,RU,1713755967
134,hawaiian paradise park,19.5933,-154.9731,23.47,71,0,5.59,US,1713755967
135,melito di porto salvo,37.9222,15.7714,12.02,76,100,3.65,IT,1713755967
136,hithadhoo,-0.6,73.0833,29.14,72,85,1.77,MV,1713755968
137,arno,60.1167,18.6333,-0.97,68,86,7.15,SE,1713755968
138,chesma,53.8111,60.6533,15.61,70,87,4.42,RU,1713755968
139,prata,-19.3072,-48.9242,20.25,63,0,1.96,BR,1713755969
140,puerto madero,14.7208,-92.4215,28.29,77,80,3.68,MX,1713755969
141,mount pearl,47.5166,-52.7813,1.66,94,55,1.87,CA,1713755969
142,tete,-16.1564,33.5867,17.76,85,0,0.52,MZ,1713755969
143,tshabong,-26.05,22.45,21.33,34,3,4.75,BW,1713755969
144,sinabang,2.4803,96.3801,29.69,75,100,1.44,ID,1713755970
145,sultanah,24.4926,39.5857,23.47,24,0,0.98,SA,1713755970
146,chibougamau,49.9168,-74.3659,-14.29,75,11,4.58,CA,1713755970
147,shumikha,55.2261,63.2961,13.91,63,79,5.29,RU,1713755970
148,xiaoweizhai,26.1903,107.5125,19.59,83,95,1.43,CN,1713755971
149,afif,23.9065,42.9172,20.78,23,0,4.38,SA,1713755971
150,meadow lakes,61.6247,-149.6011,8.99,62,100,1.13,US,1713755971
151,upington,-28.4478,21.2561,21.17,33,42,3.33,ZA,1713755971
152,avarua,-21.2078,-159.775,25.9,73,39,5.9,CK,1713755972
153,caruaru,-8.2833,-35.9761,21.18,99,72,1.03,BR,1713755972
154,pindushi,62.9152,34.58,-0.85,95,100,4.6,RU,1713755972
155,axim,4.8699,-2.2405,27.7,86,100,3.02,GH,1713755972
156,mallemort,43.7317,5.1795,2.77,80,0,5.87,FR,1713755972
157,taulaga,-11.0553,-171.0883,29.67,76,53,4.85,AS,1713755973
158,suntar,62.1444,117.6319,2.81,92,100,2.26,RU,1713755973
159,tezu,27.9167,96.1667,26.14,50,100,0.87,IN,1713755973
160,hassi messaoud,31.6804,6.0729,15.29,64,1,8.12,DZ,1713755974
161,san fernando de apure,7.8878,-67.4724,28.84,64,96,1.71,VE,1713755974
162,east london,-33.0153,27.9116,22.98,92,100,7.11,ZA,1713755974
163,san antonio de pale,-1.4014,5.6325,28.8,79,93,1.85,GQ,1713755974
164,gubkinskiy,64.434,76.5026,-15.92,86,100,8.25,RU,1713755975
165,onsala,57.4253,12.029,-0.59,71,36,4.95,SE,1713755975
166,ringkobing,56.0901,8.244,4.12,68,95,5.19,DK,1713755975
167,iskateley,67.6803,53.1512,-16.49,100,98,1.54,RU,1713755975
168,uliastay,47.7417,96.8444,-0.14,27,54,2.0,MN,1713755975
169,vorgashor,67.5833,63.95,-15.73,96,100,4.58,RU,1713755976
170,davlekanovo,54.2215,55.0343,18.09,60,98,2.3,RU,1713755976
171,portland,45.5234,-122.6762,11.2,56,26,1.95,US,1713755922
172,keetmanshoop,-26.5833,18.1333,21.36,31,70,2.27,NA,1713755976
173,sokur,55.2093,83.319,5.29,68,100,6.31,RU,1713755977
174,guiberoua,6.2392,-6.1727,24.22,98,100,1.07,CI,1713755977
